,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,X,X.1,X.2,X.3,X.4,X.5,wos
10,Ameiurus nebulosus ,Brown bullhead,bullhead,fish,,yes,yes,,,Yes,,,,,,,,,NA,NA,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,"Clancy and Bourret 2020, Bonar et al. 2005",,,NA,NA,,NA,52
18,Anguilla rostrata ,American eel,eel,fish,,,yes,,"Newfoundland, Quebec, NY",,,,yes,,,,,,NA,NA,,,no,yes,no,"Crossman 1991, Mandrak et al 2014",,,,,NA,NA,,NA,52
141,Ictalurus furcatus ,Blue catfish,catfish,fish,,,no,,,,,,,,,,,,NA,NA,,,no,yes,yes?,Mandrak et al 2014,,,,,NA,NA,,NA,52
159,Lepeophtheirus salmonis,sea lice,copepod,parasite,,,,,,,,,,,,,,,NA,NA,,,,,,,,,"concern that it could evolve freshwater tolerance Groner et al. 2019, Ljungfeldt et al. 2017",,NA,52,,NA,52
214,Mytilopsis leucophaeata,dark false mussel,mollusc,invertebrate,,,,,,,,,,,,,,,NA,NA,,,no,yes,yes,,"Therriault et al. 2013, DFO Canadawide RA",,,,NA,NA,,NA,51
336,Salvelinus confluentus,Bull trout,salmonid,fish,,,,,,,,,,,,,,,NA,NA,yes,Montana,no,no,no,Crossman 1991,,Clancy and Bourret 2020,,,NA,NA,,NA,50
341,Salvelinus namaycush x Salvelinus malma OR Salvelinus confluentus,Lake trout x dolly varden or bull trout,salmonid,fish,,,,,,,,,,,,,,,NA,NA,,,,,,Crossman 1991,,,,,NA,NA,,NA,50
390,Zostera japonica,Japanese eel-grass,grass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,50,,NA,50
219,Nelumbo,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,49,,NA,49
383,Viral hemorrhagic septicemia virus ,Viral hemorrhagic septicemia virus (VHSV),,virus,,,,,,,,,,,yes,,,,NA,NA,,,no?,no?,yes?,,,,,,NA,NA,,NA,49
319,Rana aurora,Red-legged frog,frog,amphibian,yes,,,yes,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,48,,NA,48
369,Trapa natans,water chestnut,,aquatic plant,,,yes,,,,,yes,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,47,,NA,47
284,Pomacea insularum,Island Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,NA,NA,,NA,45
33,Bellamya chinensis  OR Cipangopaludina chinensis,Chinese Mysterysnail ,mollusc,invertebrate,yes,,yes,no,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,yes?,"Schroeder et al. 2014, BC Ministry List",,(Olden et al. 2009),,,NA,NA,,NA,44
92,Echinodorus grandiflorus OR Echinodorus muricatus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,43,,NA,43
46,Cabomba aquatic,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,NA,41,,NA,41
171,Lota lota,burbot,burbot,fish,,,,,Northwest territories,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,40
47,Cabomba caroliniana,,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,"Keller and Lodge 2007, Cohen et al. 2007 ",,,,,NA,39,,NA,39
