"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"625","Oncorhynchus clarkii clarkii","Cutthroat Trout","salmonid","fish","","","","","","","","","","","yes","","","",NA,NA,"","","DFO aquaculture liscence","","","","","",NA,"",158
"626","Oncorhynchus keta","Chum salmon","salmonid","fish","","","","","Alaska, Yukon","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","Authorized Introduction","",NA,"",18
"627","Oncorhynchus kisutch","Coho salmon","salmonid","fish","","","","","","","","","","yes","yes","","","",NA,NA,"","","DFO aquaculture liscence, Gartner et al, 2011","","","","","",NA,"",169
"628","Oncorhynchus mykiss ","Rainbow trout, Steelhead","salmonid","fish","","","yes","","Ontario, Washington , California, Norway","","","","yes","","yes","","","",NA,NA,"yes","Montana, Washington","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence","","Carim et al. 2015, Clancy and Bourret 2020, (Ostberg and Rodriguez 2006; Ostberg and Chase 2012), Bonar et al. 2005, Taylor et al. 2007; Pearon and Goater 2008; Rasmussen et al. 2010, 2012; Hanisch et al. 2012, 2013; Yau and Taylor 2013)","Import","Authorized Introduction","",NA,"",1097
"629","Oncorhynchus nerka","Kokanee, Sockeye salmon","salmonid","fish","","","","","","","","","","","yes","","","",NA,NA,"yes","Washington","Crossman 1991, DFO aquaculture liscences","","spies et al. 2007","Import","Authorized Introduction","",NA,"",104
"630","Oncorhynchus tshawytscha","Chinook salmon","salmonid","fish","","","","","Yukon, Oregon, Washington","","","","","","yes","","","",NA,NA,"yes","Washington","Crossman 1991, DFO aquaculture liscences","","Jezorek and Connolly 2015","Import","Authorized Introduction","",NA,"",230
"631","Oreochromis aureus ","Blue tilapia ","tilapia","fish","","","","","","No","","","","","yes","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",39
"632","Oreochromis niloticus","Nile Tilapia","tilapia","fish","","","","","","","","","","","yes","","","",NA,NA,"","","DFO aquaculture liscence","","","","","",NA,"",463
"633","Otocinclus affinis","Golden otocinclus","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",1
"634","Oxyeleotris marmorata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",2
"635","Pangio kuhlii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"636","Pangio kuhlii ","Coolie loach","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"637","Pangio myersi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"638","Pangio oblonga ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"639","Pangio semicincta ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"640","Pangio shelfordii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"641","Paracheilognathus himantegus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"642","Paracheirodon axelrodi ","Cardinal tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",3
"643","Paracheirodon innesi","neon tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"644","Paracheirodon innesi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"645","Paracheirodon simulans ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"646","Parambassis pulcinella ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"647","Parambassis ranga ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"648","Parambassis siamensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"649","Parambassis wolffii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"650","Perca flavescens","Yellow perch","perch","fish","","yes","yes","yes","Alberta, USA","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bolding et al. 1998; Hansen et al. 2019, Bonar et al. 2005","Import","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","spread of invasive",NA,"",174
"651","Percina antesella ","Amber darter ","darter","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"652","Percina aurantiaca ","Tangerine darter ","darter","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"653","Percina burtoni ","Blotchside darter ","darter","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"654","Percopsis omiscomaycus","trout-perch","perch","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","Authorized Introduction","forage species",NA,"",6
"655","Percottus glenii","Amur sleeper","","fish","","","","","","","","","yes","","","","","",NA,NA,"","","Roy et al. 2018","","Roy et al. 2018","","","",NA,"",0
"656","Periophthalmus barbarus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"657","Petitella georgiae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"658","Petromyzontidae","lamprey","lamprey","fish","","","","","Washington, California","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","","",NA,"",8
"659","Phenacogrammus aurantiacus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"660","Phenacogrammus interruptus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"661","Phoxinus neogaeus ","Finescale dace","dace","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",3
"662","Piaractus brachypomus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",16
"663","Pimephales promelas ","Fathead minnow","minnow","fish","","yes","yes","","Ontario","","","yes","","yes","","","","",NA,NA,"yes","Montana","Crossman 1991, Mandrak et al 2014, BC Ministry List, Keller and Lodge 2007","","Clancy and Bourret 2020","Import","","",NA,"",131
"664","Pimephales vigilax ","Bullhead minnow ","minnow","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",1
"665","Piractus brachypomus","Red-bellied pacu","pacu","fish","yes","","","","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",0
"666","Platygobio gracilis","Flathead chub","chub","fish","","","","","Alberta","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","Authorized Introduction","forage species",NA,"",3
"667","Poecilia latipinna ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",25
"668","Poecilia petenensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"669","Poecilia reticulata ","Guppy","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ","",NA,"",232
"670","Poecilia sphenops ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",10
"671","Poecilia velifera ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",6
"672","Pomoxis annularis ","White crappie ","crappie","fish","","","","","","No","","","","","","","","",NA,NA,"yes","Montana","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","","",NA,"",5
"673","Pomoxis nigromaculatus ","Black crappie","crappie","fish","","yes","yes","","USA","","","yes","","","","","","",NA,NA,"yes","Montana, Washington","Crossman 1991, Mandrak et al 2014, BC Ministry List","","Clancy and Bourret 2020, Bonar et al. 2005","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","spread of invasive","",NA,"",15
"674","Priapella intermedia ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",2
"675","Prionobrama filigera ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"676","Pristella maxillaris ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"677","Pristobrycon striolatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"678","Procatopus aberrans ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"679","Pseudambassis baculis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"680","Pseudogastromyzon fasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"681","Pseudogastromyzon myersi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"682","Pseudomystus siamensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"683","Pteronotropis hypselopterus ","Sailfin shiner ","shiner","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"684","Pterophyllum scalare","Angelfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",9
"685","Pterygoplichthys","plecostomus","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",95
"686","Ptychocheilus oregonensis ","Northern pikeminnow ","pikeminnow","fish","","","","","","No","","","","","","","","",NA,NA,"yes","Montana","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","","",NA,"",15
"687","Puntius arulius ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"688","Puntius asoka ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"689","Puntius chola ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"690","Puntius conchonius ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",2
"691","Puntius denisonii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"692","Puntius everetti ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"693","Puntius filamentosus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",3
"694","Puntius gelius ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"695","Puntius hexazona ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"696","Puntius johorensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"697","Puntius lateristriga ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"698","Puntius lineatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"699","Puntius melanampyx ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"700","Puntius nigrofasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"701","Puntius oligolepis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"702","Puntius partipentazona ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"703","Puntius pentazona ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"704","Puntius rhomboocellatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"705","Puntius sachsii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"706","Puntius semifasciolatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",3
"707","Puntius tetrazona ","Tiger barb","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ","",NA,"",3
"708","Puntius ticto ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"709","Puntius titteya ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"710","Puntius vittatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"711","Pygocentrus cariba ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"712","Pygocentrus nattereri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",11
"713","Pygocentrus piraya ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"714","Rasbora borapetensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"715","Rasbora dorsiocellata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"716","Rasbora einthovenii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"717","Rasbora elegans ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"718","Rasbora kalochroma ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"719","Rasbora meinkeni ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"720","Rasbora pauciperforata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"721","Rasbora trilineata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"722","Rasbora vaterifloris ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"723","Richardsonius balteatus","Redside shiner","shiner","fish","yes","","","yes","Alberta","","","","","","","","","",NA,NA,"yes","Montana","Crossman 1991, BC Ministry List","","Clancy and Bourret 2020","Import","Authorized Introduction","forage species",NA,"",5
"724","Rutilus rutilus ","Roach ","Roach","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",212
"725","Salmo salar ","Atlantic salmon","salmonid","fish","","yes","yes","","Washington, Scotland","","","","yes","","yes","","","",NA,NA,"yes","Alaska","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, BC Ministry List",""," (Wing et al. 1992; Piccolo and Orlikowska 2012)","Import","Authorized Introduction, Unintentional release including escape from fish culture facility and unauthorized releases","",NA,"",585
"726","Salmo trutta","Brown trout","salmonid","fish","","yes","yes","","","","","","","","","","","",NA,NA,"yes","Montana","Crossman 1991, BC Ministry List","","Clancy and Bourret 2020","","Authorized Introduction","",NA,"",731
"727","Salvelinus alpinus","Arctic char","char","fish","","","","","Manitoba, Alaska","","","","","","yes","","","",NA,NA,"","","Crossman 1991, DFO aquaculture liscences","","","Import","Authorized Introduction","",NA,"",122
"728","Salvelinus confluentus","Bull trout","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"yes","Montana","Crossman 1991","","Clancy and Bourret 2020","","Authorized Introduction","",NA,"",50
"729","Salvelinus fontinalis","Brook trout (eastern)","eastern)","fish","","yes","yes","","","","","","","","yes","","","",NA,NA,"yes","Montana, Idaho, Washington, Alberta","Crossman 1991, DFO aquaculture liscences, BC Ministry List","","Clancy and Bourret 2020, Benjamin and Baxter 2010, Hofman et al. 2014, (Parker and Schindler 2006; Pacas and Taylor 2015)","","Authorized Introduction","",NA,"",351
"730","Salvelinus fontinalis x Salvelinus namaycush","Brook trout x lake trout hybrid ","hybrid","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction","",NA,"",4
"731","Salvelinus malma","Dolly varden trout","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction","",NA,"",19
"732","Salvelinus namaycush ","Lake Trout","salmonid","fish","yes","","","yes","","","","","","","yes","","","",NA,NA,"yes","Montana, Alberta","DFO aquaculture liscence, BC Ministry List","","Ellis et al. 2015, Clancy and Bourret 2020, Donald and Alger 1993","Montana","","",NA,"",216
"733","Salvelinus namaycush x Salvelinus malma or Salvelinus confluentus","Lake trout x dolly varden or bull trout","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction","",NA,"",50
"734","Salvelinus trutta x Salvelinus namaycush","Splake","Splake","fish","yes","","","","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",1
"735","Sander canadensis ","Sauger ","Sauger","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",10
"736","Sander vitreus ","Walleye ","Walleye","fish","","yes","","yes","","No","","","","","","","","",NA,NA,"yes","Montana","Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO BC RA 2010","Clancy and Bourret 2020","","","",NA,"",99
"737","Sawbwa resplendens ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"738","Schistura mahnerti ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"739","Scleromystax barbatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"740","Serrasalmus brandti ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"741","Serrasalmus elongatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"742","Serrasalmus manueli ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"743","Serrasalmus niger ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"744","Serrasalmus rhombeus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"745","Serrasalmus striolatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"746","Serrasalmus ternetzi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"747","Sewellia lineolata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"748","Silurus glanis ","Wels catfish","catfish","fish","","yes","no","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","Roy et al. 2018","","","",NA,"",79
"749","Siniperca chuatsi ","Mandarin fish/Chinese perch","perch","fish","","","","","","","","yes","yes","","","","","",NA,NA,"","","Mandrak et al 2014","","Roy et al. 2018","","","",NA,"",12
"750","Stigmatogobius sadanundio ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"751","Stiphodon ornatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"752","Stizostedion vitreum ","Walleye","Walleye","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","",NA,"",66
"753","Sundadanio axelrodi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"754","Syncrossus hymenophysa ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"755","Tanichthys albonubes ","white cloudmountain minnow","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ","",NA,"",3
"756","Tateurndina ocellicauda ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"757","Thayeria boehlkei ","Blackline penguinfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"758","Thayeria obliqua ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"759","Thymallus arcticus","Arctic grayling","grayling","fish","","","","","Yukon, Alaska, Northwest Terrirtories","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","Authorized Introduction","",NA,"",12
"760","Tinca tinca","Tench","Tench","fish","yes","","","no","USA","","","","","","","","","",NA,NA,"","","Crossman 1991, BC Ministry List","","","","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","spread of invasive",NA,"",54
"761","Trigonostigma espei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"762","Trigonostigma hengeli ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"763","Trigonostigma heteromorpha ","Harlequin rasbora","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"764","Trinectes maculatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ","",NA,"",0
"765","Tyttocharax cochui ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"766","Umbra limi","Central Mud Minnow","Minnow","fish","","","","","","","","","","","","","","",NA,NA,"yes","Montana","","","Clancy and Bourret 2020","","","",NA,"",2
"767","Xenentodon cancila ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"768","Xiphophorus birchmanni ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"769","Xiphophorus hellerii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",28
"770","Xiphophorus maculatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",26
"771","Xiphophorus spp","playfishes","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",8
"772","Xiphophorus spp","swordtails","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",8
"773","Xiphophorus variatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",6
"774","Xiphspkorus helleri","Green swordtail","swordtail","fish","","","","","","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Exotic","Authorized Introduction","",NA,"",0
"775","Yasuhikotakia lecontei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"776","Yasuhikotakia modesta ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"777","Yasuhikotakia morleti ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
